City,Lattitude,Windspeed,Humidity,Cloudiness,Temperature
rikitea,-23.12,18.99,80,67,76.08
ribeira grande,38.52,17.92,90,100,60.58
nyurba,63.29,1.25,98,100,-14.55
suvorovskaya,44.19,6.71,92,75,17.24
bathsheba,13.22,10.29,78,40,77.0
iqaluit,63.75,26.4,61,5,-23.8
ilulissat,69.22,3.36,71,99,8.6
vaini,15.34,7.76,72,0,65.91
jamestown,-33.21,10.47,70,100,53.37
bonito,-1.36,2.24,95,100,73.24
bluff,-23.58,11.23,35,95,89.51
yar-sale,66.83,17.54,85,63,23.4
cape town,-33.93,5.82,82,75,65.53
yenagoa,4.92,3.98,65,47,73.27
ushuaia,-54.81,11.41,62,75,51.8
barrow,-38.31,10.25,89,74,63.7
nicoya,10.15,18.34,65,2,76.8
nanortalik,60.14,17.34,79,97,30.78
busselton,-33.64,10.42,19,27,80.87
karratha,-20.74,20.22,67,33,84.49
mataura,-46.19,24.0,66,100,57.0
punta arenas,-53.16,4.7,81,90,48.11
naze,5.43,3.44,29,33,70.48
cuamba,-14.8,1.25,96,99,69.91
socorro,31.65,2.33,36,1,47.68
somerset east,-32.72,4.7,97,28,65.32
avarua,-21.21,3.36,83,2,82.4
thompson,55.74,5.82,84,90,3.2
samarai,-10.62,5.37,81,100,83.03
olinda,-37.84,20.8,76,75,55.99
georgetown,6.8,9.17,74,20,76.86
nishihara,35.74,14.99,42,20,46.24
upernavik,72.79,9.8,95,58,-35.61
cidreira,-30.17,17.9,82,0,72.93
grindavik,63.84,33.33,93,75,36.61
chuy,-33.69,10.25,82,0,66.78
geraldton,49.72,6.93,78,90,15.8
san martin,37.08,5.82,82,75,52.5
katsuura,33.93,17.22,49,75,47.55
werota,11.92,7.94,77,3,66.56
obo,5.39,7.92,30,0,70.34
lebu,8.96,1.59,82,100,51.49
castro,-42.48,9.17,62,66,55.4
ambilobe,-13.19,0.31,87,74,78.13
coihaique,-45.58,3.36,58,75,50.56
kodiak,39.95,9.17,55,1,35.94
tasiilaq,65.61,7.67,79,100,26.6
kobyzhcha,50.83,6.71,95,99,33.8
margate,-43.03,6.93,28,10,68.14
khatanga,71.98,9.57,86,0,-19.98
pochutla,15.74,5.82,78,75,80.01
mersing,2.43,18.03,81,52,80.22
hamilton,43.26,8.05,86,75,32.52
umarkot,25.37,4.25,46,0,60.49
tilichiki,60.47,5.7,64,58,-3.77
vila franca do campo,37.72,13.87,88,20,64.4
ancud,-41.87,9.17,62,32,55.4
guane,22.2,16.11,86,85,75.76
qaanaaq,77.48,5.82,54,0,-40.47
petropavlovsk-kamchatskiy,53.05,13.42,78,40,32.0
almaznyy,48.03,11.18,100,20,24.8
pendleton,34.65,8.05,65,1,39.11
new norfolk,-42.78,6.93,28,0,68.16
touba,14.86,12.39,13,1,64.24
bethel,60.79,8.05,76,1,-11.16
ponta delgada,37.73,13.87,88,20,64.4
erzurum,39.91,2.24,92,90,10.4
butaritari,3.07,11.83,78,62,84.16
hami,42.84,1.07,49,0,20.1
oromocto,45.85,2.24,92,90,31.26
hithadhoo,-0.6,6.2,65,30,84.06
omsukchan,62.53,1.48,61,26,-1.16
harper,30.3,10.02,49,1,50.47
puerto ayora,-0.74,3.0,83,68,75.0
wanning,48.64,18.34,86,75,34.95
hasaki,35.73,4.7,70,20,43.48
port alfred,-33.59,5.01,98,100,70.0
albany,42.65,3.36,93,90,34.18
port blair,11.67,12.8,75,66,81.68
pedro juan caballero,-22.55,5.75,96,0,67.71
komsomolskiy,67.55,26.71,89,100,22.12
artigas,-30.4,10.56,67,4,71.24
bara,10.41,6.55,40,36,57.04
chumikan,54.72,6.71,76,98,-0.72
maragogi,-9.01,13.76,78,100,79.77
santa vitoria do palmar,-33.52,10.25,82,0,66.78
pangnirtung,66.15,7.92,99,100,-32.96
saint-philippe,45.36,6.93,92,90,28.99
cabo san lucas,22.89,5.82,68,20,67.08
lubango,-14.92,1.54,89,100,58.78
baykit,61.68,8.37,89,100,11.34
ferme-neuve,46.7,7.27,91,100,20.39
isangel,-19.55,17.22,58,20,86.0
gravdal,59.79,9.17,86,100,38.12
gizo,31.8,8.05,93,75,48.88
bilibino,68.06,2.39,52,0,-4.41
arlit,18.74,9.86,33,0,52.47
hilo,19.71,6.93,69,75,70.25
port keats,-14.25,0.36,49,94,94.28
nome,30.04,2.84,71,1,50.34
yellowknife,62.45,10.29,84,90,1.4
kavieng,-2.57,8.46,71,100,84.96
beloha,-25.17,13.4,87,19,72.18
ahipara,-35.17,4.0,66,75,75.99
port elizabeth,39.31,5.82,93,90,47.77
cherskiy,68.75,7.74,55,78,-2.72
aklavik,68.22,2.24,67,75,-25.6
vanavara,60.35,11.7,91,100,14.9
luderitz,-26.65,13.44,85,0,61.65
jarvakandi,58.78,1.01,74,59,30.99
gawler,-34.6,8.05,62,75,57.61
atuona,-9.8,5.35,67,0,81.32
palmer,-34.85,8.05,62,75,57.61
hermanus,-34.42,15.46,88,38,64.9
saint anthony,43.97,3.96,80,90,29.73
dharchula,29.85,7.83,65,86,22.8
riyadh,24.63,2.24,87,75,59.0
san policarpo,12.18,21.94,81,100,80.35
tuktoyaktuk,69.44,9.17,74,20,-27.4
chirongui,-12.93,2.24,100,100,77.0
hofn,64.25,32.79,78,62,44.15
gdov,58.74,13.91,67,100,31.64
torbay,47.66,13.87,86,75,30.22
heihe,50.24,1.66,69,12,-9.4
kloulklubed,7.04,12.75,74,75,84.2
bandundu,-3.32,3.4,86,93,71.96
corralillo,22.98,1.63,82,18,74.79
judaberg,59.17,9.17,86,100,35.76
soure,40.06,2.24,93,0,39.92
kargasok,59.06,10.31,91,96,17.85
kaitangata,-46.28,32.64,67,54,53.98
carnarvon,-30.97,7.9,37,15,59.72
iskateley,67.68,24.52,88,100,25.57
kapaa,22.08,19.46,83,90,77.07
saskylakh,71.97,7.49,94,0,-20.18
rognan,67.1,17.22,96,40,29.3
griffith,-34.29,16.11,27,90,73.09
zboriste,45.15,8.05,88,20,29.82
durres,41.32,6.93,93,75,37.4
acapulco,16.86,4.7,83,40,80.6
niort,46.32,8.05,86,0,32.2
faanui,-16.48,11.39,78,100,81.45
dalvik,57.79,11.41,63,12,30.7
laguna,16.17,11.41,78,40,75.2
jiwani,25.05,8.05,71,22,73.44
pevek,69.7,3.38,66,0,-6.29
kuusamo,65.96,6.93,85,0,10.4
arcata,40.87,4.7,93,20,48.49
vigo,42.24,6.93,100,0,41.32
hovd,63.83,2.24,97,90,33.4
dali,34.79,19.17,92,100,37.51
kruisfontein,-34.0,20.65,92,55,65.7
nioro,13.79,10.96,13,21,65.82
prince rupert,54.32,14.99,80,90,39.2
udachnyy,66.42,4.47,83,62,-13.0
mar del plata,-46.43,8.93,65,74,59.45
sao filipe,14.9,14.54,78,0,69.87
timra,62.49,6.93,74,0,28.49
severo-kurilsk,50.68,2.04,75,100,20.41
constitucion,23.99,4.7,29,20,51.8
sola,-3.17,3.78,79,23,62.85
mocuba,-16.84,1.7,98,100,73.96
saint george,39.45,1.1,62,75,39.6
butzbach,50.43,4.7,86,90,39.67
mitsamiouli,-11.38,7.56,76,100,81.19
bambous virieux,-20.34,10.67,94,75,74.03
havelock,34.88,9.17,77,1,60.87
bandarbeyla,9.49,15.75,78,27,77.27
ardmore,34.99,4.7,69,90,36.95
usinsk,66.0,21.41,88,100,23.41
hobart,-42.88,6.93,28,10,68.13
vaitape,-16.52,11.39,78,100,81.45
vila velha,-3.71,3.36,78,20,82.63
karad,17.29,6.31,75,0,62.6
egvekinot,66.32,13.04,64,0,-12.62
iquitos,-3.75,1.81,88,64,78.8
nenjiang,49.17,3.04,84,32,9.9
sabang,13.8,8.99,78,39,80.01
provideniya,64.42,9.78,87,90,-11.83
plouzane,48.38,3.36,81,90,44.46
nuuk,64.17,9.17,79,100,21.11
mackay,53.65,11.41,58,5,29.3
lagoa,37.14,8.05,81,0,49.33
port-gentil,-0.72,7.9,72,100,82.2
vung tau,10.35,4.81,55,36,83.86
victoria,5.28,5.82,66,75,84.49
harvard,40.62,13.87,80,1,38.23
tiksi,71.64,11.07,86,93,-17.09
rock springs,41.59,28.86,58,1,30.2
kuraymah,36.78,13.09,87,100,41.74
punta alta,-27.46,4.52,83,0,75.2
hun,50.34,6.93,86,75,41.41
walvis bay,-22.95,13.87,87,18,61.57
gushikawa,26.35,11.41,60,20,68.9
tuatapere,-46.13,24.0,66,8,57.0
fortuna,40.6,4.7,93,20,48.34
bowral,-34.48,11.41,72,90,69.67
thunder bay,48.41,4.7,67,75,23.63
angoche,-16.23,3.89,93,100,73.9
matagami,9.67,6.69,31,0,62.55
san quintin,17.54,8.9,53,0,82.9
mogadishu,2.04,16.06,84,33,80.65
baldeo,27.42,4.21,66,0,54.45
ewa beach,21.32,9.17,94,90,77.04
souillac,45.6,5.82,93,0,32.88
verkhniy ufaley,56.06,13.89,90,99,22.08
lyngseidet,69.58,3.36,79,40,27.36
mareeba,-16.99,10.29,66,38,88.81
sitka,37.17,7.0,60,0,42.01
sainte-suzanne,47.51,4.7,86,90,33.82
marrakesh,31.63,1.12,87,0,46.4
sosnovoborsk,56.12,13.42,57,92,23.0
tiznit,29.7,0.47,50,0,49.28
yumen,40.29,10.54,74,100,17.33
chokurdakh,70.62,3.94,97,84,-14.17
lasa,34.92,3.36,71,75,51.33
whitehorse,60.72,5.82,84,75,-2.87
salalah,17.01,9.17,69,75,77.0
aasiaat,68.71,10.22,81,100,9.34
astana,51.13,17.9,79,75,21.2
grand gaube,-20.01,7.63,94,75,74.23
coquimbo,-29.95,6.93,87,90,60.8
fort collins,40.55,20.8,25,1,43.9
chacabuco,-34.64,1.99,80,0,68.0
pilar,-34.46,6.93,57,0,74.01
kota kinabalu,5.98,2.24,74,75,82.94
valentin gomez farias,24.05,4.7,29,20,51.8
nikolskoye,59.7,20.13,76,90,31.62
taoudenni,22.68,8.08,28,0,52.7
port macquarie,-31.43,16.11,54,40,86.38
veraval,49.65,4.7,93,90,43.14
los llanos de aridane,28.66,8.05,63,90,64.4
neepawa,50.23,4.7,85,75,23.0
khammam,17.25,6.24,74,57,72.81
odessa,31.85,6.93,32,1,52.52
basco,40.33,3.36,100,1,25.7
carutapera,-1.2,6.22,75,100,81.25
frutal,-20.02,12.93,92,100,71.26
mahebourg,-20.41,4.18,94,75,73.98
altay,47.83,4.14,61,3,9.9
houston,29.76,3.69,81,1,52.83
turbat,26.0,1.57,86,45,64.87
santa rosa,-36.62,15.05,75,21,66.15
luanda,-8.83,4.7,94,75,75.2
mount gambier,-37.83,14.99,48,40,64.4
konstantynow lodzki,51.75,13.87,86,75,33.67
sobolevo,54.43,8.28,94,16,28.24
haines junction,60.75,3.51,97,61,-15.48
klaksvik,62.23,6.93,93,100,48.2
xam nua,20.42,2.82,68,34,66.58
bayan,36.1,5.59,54,100,22.37
vao,59.1,11.99,70,90,29.26
methoni,36.82,3.36,87,100,47.88
lima,-12.06,10.29,88,75,71.6
beyneu,45.32,6.13,68,54,27.63
pangody,65.85,21.14,94,100,26.6
vikulovo,55.07,6.06,88,100,31.48
buraydah,26.33,9.17,62,40,51.8
acari,-6.44,13.02,76,100,73.54
elmadag,39.92,1.12,86,75,28.87
ankazoabo,-22.29,2.75,75,0,72.16
vestmannaeyjar,63.44,35.59,78,100,43.12
inuvik,68.36,2.24,67,75,-25.6
sept-iles,50.2,2.24,85,90,19.4
guerrero negro,27.97,6.22,43,0,62.74
vikhorevka,56.12,8.95,92,75,19.18
la ronge,55.1,4.7,92,90,15.8
dikson,73.51,24.76,90,100,4.46
acucena,-19.07,5.82,95,100,69.42
marawi,8.0,4.0,74,0,81.0
mayumba,-3.44,6.73,84,98,80.15
arraial do cabo,-22.97,7.05,89,100,75.34
kutum,14.2,4.85,35,0,49.69
bredasdorp,-34.53,5.82,68,100,66.09
labuhan,-2.54,1.01,91,100,77.13
bud,62.91,9.17,69,100,35.13
lashio,22.93,1.83,97,100,60.22
gusau,12.17,16.93,27,98,60.76
bosobolo,4.19,1.43,37,60,67.21
ostrovnoy,68.05,22.26,93,100,20.43
maceio,-9.67,4.7,88,99,75.2
tokmak,47.26,5.06,96,100,32.79
lerwick,60.15,26.4,93,100,46.4
verkhoyansk,67.55,0.92,92,10,-30.08
chelno-vershiny,54.42,13.04,97,100,32.13
two rivers,44.15,10.29,74,90,27.45
dunedin,-45.87,25.01,61,79,61.0
norman wells,65.28,6.93,68,90,-18.4
natal,-5.81,6.93,74,20,80.6
adrar,27.87,9.17,41,0,41.0
buala,-8.15,9.37,71,100,85.41
cabanas,-8.41,9.1,78,100,70.54
trairi,-3.28,2.21,88,98,74.66
lucea,18.44,3.36,83,20,80.28
gold coast,-28.0,8.99,50,0,89.31
narsaq,60.91,2.24,73,98,26.6
bilma,18.69,4.05,41,0,47.03
goderich,43.74,3.0,69,100,31.1
buin,-33.73,16.11,52,0,69.8
boda,4.32,4.61,28,41,65.64
talnakh,69.49,29.08,77,40,5.0
lukang,24.06,3.36,88,20,71.19
abay,49.63,20.13,85,13,15.8
verkhnevilyuysk,63.45,2.15,98,100,-16.24
cristalina,-16.77,6.73,92,100,67.59
lac du bonnet,50.25,8.01,92,100,25.0
tual,-5.67,12.59,75,100,83.62
razdolinsk,58.42,6.29,96,100,7.57
evensk,61.92,4.29,47,19,7.09
gubkinskiy,64.43,20.78,91,97,26.19
east london,-33.02,13.35,92,34,76.17
aldan,58.61,6.29,93,100,10.78
starobesheve,47.75,7.16,94,100,37.51
mount isa,-20.73,8.05,32,40,96.8
seguela,7.96,4.29,16,0,66.38
pangai,-19.8,11.43,70,0,79.47
aginskoye,51.11,0.83,71,100,13.15
diffa,13.32,10.74,43,0,57.51
didwana,27.4,6.02,47,0,55.45
toktogul,41.87,3.2,59,100,8.76
uberaba,-19.75,9.17,83,40,71.6
serenje,-13.23,2.73,98,100,63.09
camacha,33.08,6.93,77,40,62.6
port hardy,50.7,5.82,93,90,39.2
atasu,48.68,1.99,93,28,16.59
shimoda,34.7,14.99,43,20,50.47
dauriya,49.93,1.39,76,67,10.38
maues,-3.38,1.57,88,100,76.08
alofi,-19.06,10.29,70,2,84.2
airai,-8.93,4.74,62,99,81.28
port lincoln,-34.72,16.06,68,99,61.39
karanja,20.48,9.73,60,0,62.6
jalu,29.03,8.46,84,0,48.31
bosaso,11.28,16.11,78,0,77.14
charters towers,-20.07,11.97,33,1,90.3
buchanan,5.88,4.43,79,0,69.8
piacabucu,-10.41,12.3,83,100,78.35
waingapu,-9.65,23.82,79,100,83.12
leningradskiy,69.38,2.26,59,0,-10.46
kenitra,34.26,4.7,100,40,46.09
bereznik,62.86,2.06,97,99,25.18
susehri,40.16,0.83,97,100,17.04
clyde river,70.47,16.11,65,1,-36.4
san patricio,-26.98,5.73,63,0,74.43
meadow lake,54.13,15.05,70,62,25.36
deputatskiy,69.3,1.81,95,100,-5.06
lompoc,34.64,10.29,93,1,54.12
umm kaddadah,13.6,13.22,34,0,55.85
sioux lookout,50.1,3.36,79,90,19.4
batemans bay,-35.71,15.01,37,3,77.0
podosinovets,60.28,6.85,95,100,26.47
jutai,-1.71,0.83,98,100,72.73
boguchany,58.38,5.68,94,57,6.33
nantucket,41.28,6.93,93,90,43.88
boueni,-12.9,2.24,100,100,77.0
beringovskiy,63.05,18.63,72,0,-7.06
palitana,21.52,7.2,62,0,64.8
kerman,30.29,16.11,53,75,50.0
aksha,50.28,1.16,79,100,11.7
ketchikan,55.34,21.92,93,90,35.6
tiarei,-17.53,3.36,70,40,87.35
aksarka,66.56,20.24,84,58,22.26
pokhara,28.21,1.68,72,0,49.64
calamagui,17.49,5.1,89,100,66.38
san jeronimo,-13.65,3.69,94,100,50.11
albanel,48.88,10.29,78,90,20.53
payette,44.08,5.82,51,1,35.91
dudinka,69.41,29.08,77,40,5.0
wamba,2.14,2.28,99,93,66.63
saiha,22.49,2.17,97,98,61.57
nouakchott,18.08,12.75,20,16,62.6
sirvintos,55.05,8.05,92,75,30.97
saint-francois,46.42,2.51,92,90,32.61
husavik,50.56,8.01,92,100,23.41
te anau,-45.41,15.68,69,82,48.4
hatfield,51.76,9.17,87,90,43.83
lander,42.83,13.87,44,1,32.02
imeni poliny osipenko,52.42,4.14,89,6,-9.44
bitung,1.44,3.36,79,75,84.2
watsa,3.04,1.66,76,81,65.23
bonthe,7.53,2.57,72,0,75.34
kavaratti,10.57,11.07,70,26,80.31
voh,-20.95,17.65,72,0,78.28
bonavista,48.65,7.07,87,12,27.37
alakurtti,66.96,1.99,91,0,5.0
fairbanks,64.84,1.41,74,75,-23.44
saldanha,41.42,1.97,89,0,34.77
kununurra,-15.77,6.93,55,40,91.4
bougouni,11.42,5.19,15,100,59.16
son la,21.32,2.93,70,61,69.39
novyy urengoy,66.08,19.64,90,100,27.25
rocha,-34.48,7.78,90,0,61.21
kaeo,-35.1,4.0,66,68,72.61
kattivakkam,13.22,6.93,88,75,80.78
san cristobal,14.68,3.87,96,19,63.21
warri,5.52,2.51,56,82,71.22
noumea,-22.28,18.34,52,75,85.32
corner brook,48.95,4.7,86,90,29.12
douglas,58.28,4.7,79,75,28.6
oksfjord,70.24,47.2,79,100,26.04
barra velha,-26.63,6.93,78,40,71.96
bubaque,11.28,4.99,59,0,77.85
sanlucar de barrameda,36.78,3.36,93,75,47.44
almenara,-16.17,3.13,98,100,70.5
wuning,29.26,0.31,99,98,54.77
ucluelet,48.94,5.82,100,75,39.16
sechura,-5.56,10.67,86,56,71.44
dalen,35.23,2.24,100,75,33.8
huarmey,-10.07,1.68,78,100,69.37
longyearbyen,78.22,6.93,60,20,6.8
baykalovo,64.58,2.24,92,90,26.6
sao felix do xingu,-6.64,0.83,95,77,70.83
kargopol,61.51,4.45,97,100,29.37
lovozero,68.01,17.27,90,77,11.73
birao,10.3,16.04,18,0,64.47
amga,60.89,3.11,97,100,-6.11
moerai,-22.43,4.32,80,100,79.3
stillwater,36.12,6.93,48,1,42.89
jian,25.65,9.42,68,1,63.59
bima,-8.45,4.72,67,100,84.78
ayan,38.23,8.99,79,11,11.91
manta,45.1,4.72,69,86,33.37
sovetskiy,56.76,11.86,94,100,26.04
rio grande,-32.03,1.01,79,0,70.0
sardinia,38.89,5.82,87,20,34.99
banjar,-7.37,1.01,64,22,88.02
luis correia,-2.88,1.88,96,100,74.86
aranos,-24.14,3.89,51,66,76.5
key west,47.93,17.22,79,1,22.48
oussouye,12.49,6.51,14,0,64.29
halifax,44.65,4.7,94,90,36.05
esperance,-33.86,20.8,35,0,73.4
high level,58.52,8.05,83,40,-5.8
eureka,40.8,4.7,93,20,48.49
zhuhai,40.71,6.71,67,100,17.6
bhuj,23.25,9.24,50,0,63.88
lazarev,52.23,10.04,82,57,3.11
codrington,-28.95,5.82,24,0,94.15
mehamn,71.03,24.72,73,100,24.46
shetpe,44.14,13.49,53,100,28.26
kaili,-3.46,4.88,80,97,71.96
tahoua,14.89,11.41,24,0,59.0
mandalgovi,45.76,8.72,86,0,8.62
xai-xai,-25.04,3.51,95,2,70.68
praia,-20.25,6.08,88,100,71.6
sandwick,54.57,26.4,100,100,45.12
ola,59.58,9.15,68,100,17.49
tokoroa,-38.22,14.0,60,87,70.03
namibe,-15.19,9.53,87,100,75.29
dinard,48.63,3.36,81,90,43.16
mateare,12.24,9.17,58,20,84.2
beni,0.49,2.26,96,75,64.38
wewak,-3.55,6.51,90,100,77.79
tonantins,-2.86,2.21,94,86,73.92
yokadouma,3.52,0.81,39,14,61.16
paris,48.86,2.24,81,90,43.2
itarema,-2.92,2.75,91,100,76.26
khani,41.96,5.82,93,75,35.6
nova olimpia,-14.8,4.85,84,81,74.73
mahibadhoo,3.78,9.53,76,19,82.11
paka,4.15,2.06,33,0,62.33
qaqortoq,60.72,2.24,73,85,26.6
aksu,52.04,11.18,92,100,23.0
perth,-31.95,16.11,25,0,85.24
tsiroanomandidy,-18.77,1.32,91,0,68.52
ratnagiri,16.98,3.62,65,0,69.94
miraflores,-16.39,3.36,76,75,57.2
negombo,7.21,2.24,100,5,75.2
valenca,-13.37,2.01,95,100,75.27
yarada,17.65,18.7,83,49,75.18
marfino,56.07,11.18,90,75,32.83
takatsuki,34.88,19.46,61,20,44.29
kasongo,-4.43,2.55,95,100,71.28
pathein,16.78,3.76,57,0,83.44
comodoro rivadavia,-45.87,1.12,67,39,59.0
middle island,40.88,6.93,100,90,44.94
ponta do sol,-20.63,1.99,90,100,67.75
flinders,-34.58,11.41,72,90,72.05
muros,42.77,3.36,100,0,40.08
ongandjera,-17.88,12.19,86,100,66.18
vanimo,-2.67,9.6,78,100,81.79
north bend,43.41,3.67,93,75,45.28
nushki,29.55,11.21,73,99,55.85
abha,18.22,5.82,87,3,58.14
tabuk,17.41,6.31,74,35,76.71
mayo,63.59,9.17,63,90,-9.4
kropotkin,45.43,3.76,69,15,33.01
touros,-5.2,6.93,74,40,80.6
ukiah,39.15,4.7,66,1,45.39
nhulunbuy,-12.18,14.99,55,40,91.4
yuanping,38.72,2.39,92,100,24.3
salinopolis,-0.61,10.87,78,100,80.67
axim,4.87,2.26,69,43,71.08
kumluca,36.37,3.42,52,0,44.31
konevo,41.67,1.68,60,100,41.0
port augusta,-32.49,8.01,94,100,52.0
sinnamary,5.38,14.34,80,48,79.59
tupik,54.43,1.86,90,0,2.53
terrace bay,48.78,4.09,96,41,4.15
santa maria,-16.02,4.7,94,90,67.91
george town,5.42,9.17,58,20,80.04
altamira,-3.2,2.35,96,79,72.91
yichang,30.77,2.06,72,100,41.59
tres arroyos,-38.38,9.33,89,70,63.37
chalmeca,12.13,3.0,96,29,72.54
xichang,27.88,9.89,86,92,38.71
fayaoue,-20.65,13.8,75,0,78.13
jieshi,22.82,1.99,83,100,66.0
lodwar,3.12,5.3,48,39,80.53
staryy nadym,65.61,22.75,87,81,24.96
roald,62.58,12.75,64,100,35.46
lavrentiya,65.58,11.01,85,100,-7.4
bastia,44.6,3.36,70,0,42.57
den helder,52.96,3.36,100,90,44.53
srednekolymsk,67.46,2.64,49,46,1.6
sur,22.57,10.76,70,0,67.51
palana,59.08,5.57,75,0,10.99
storforshei,66.4,3.0,93,100,19.99
shanhetun,44.7,7.38,85,73,15.6
ilo,-17.65,2.71,84,97,70.81
dostpur,26.27,9.17,71,0,57.76
flagstaff,35.2,4.25,43,1,38.26
portland,43.66,8.05,94,90,33.21
bajil,38.23,1.21,90,0,34.16
phuket,7.89,2.24,74,20,78.37
thinadhoo,0.53,8.99,71,93,83.61
raudeberg,61.99,20.8,80,90,36.93
hudson bay,52.86,2.39,96,100,18.03
konyshevka,51.85,5.77,91,100,28.94
vadso,70.07,27.51,85,28,14.0
mumford,5.26,2.39,59,0,69.75
praya,-8.71,10.65,67,65,79.57
rach gia,10.02,8.05,83,52,78.8
grootfontein,-19.56,12.86,92,100,63.68
tam ky,15.57,3.02,69,20,80.6
poroshkovo,48.67,1.52,91,100,24.57
savalou,7.93,5.95,24,52,71.11
gerash,27.67,9.17,93,90,55.4
senanga,-16.1,5.01,94,100,67.14
vacaria,-28.51,5.01,83,0,64.99
sabha,27.03,5.1,54,0,42.98
biak,-0.91,3.36,92,100,76.53
snezhnogorsk,69.19,8.95,78,75,15.8
aykhal,65.95,4.47,83,100,-13.0
golden,39.76,4.7,17,1,46.85
hanzhong,33.08,2.13,91,100,40.33
oktyabrskoye,56.73,17.9,86,75,25.45
solnechnyy,50.72,3.13,87,0,-2.34
mahon,51.89,16.11,100,75,47.16
kasiri,8.94,5.82,78,0,78.8
rio gallegos,-51.62,4.7,50,100,55.4
caravelas,-17.73,10.96,89,100,76.08
tarakan,3.3,2.48,82,100,79.0
coruripe,-10.12,13.71,82,100,78.46
padang,-0.92,3.42,64,60,80.89
auki,12.18,16.93,27,98,60.76
hoa binh,20.81,3.36,88,75,69.8
along,28.17,0.38,94,97,52.52
sokolo,14.74,10.65,21,0,57.34
moindou,-21.69,18.34,52,75,87.8
sikonge,-5.63,3.69,94,100,63.07
yeppoon,-23.13,9.17,40,40,89.6
christchurch,-43.53,17.22,35,43,74.3
esso,55.93,6.22,98,91,4.84
omboue,-1.57,1.59,94,91,74.62
cayenne,4.94,3.36,83,98,78.8
